PV Player ID,Full Formal Name,Jersey,Position,Provider/Stable Identifier,Source/Provenance,Identity Status
,Jeremy Atkins,,LB,sidearm_roster_rp_id:8552,Official PVAMU 2026-27 roster,NEW_ROSTER_NO_PV_ID
P048,Mohammed Bility,,DB,sidearm_roster_rp_id:8549,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
P044,"William Blaylock, II",,TE,sidearm_roster_rp_id:8537,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
P050,Cayden Bowie,,OL,sidearm_roster_rp_id:8491,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
,"Kevin Brown, Jr.",,RB,sidearm_roster_rp_id:8493,Official PVAMU 2026-27 roster,NEW_ROSTER_NO_PV_ID
P051,Jordan Campbell,,DE,sidearm_roster_rp_id:8496,Official PVAMU 2026-27 roster,MATCHED_POSITION_FAMILY_DL_DE
P052,Kamrin Canterbury,,SAF,sidearm_roster_rp_id:8516,Official PVAMU 2026-27 roster,MATCHED_POSITION_FAMILY_DB_SAF
,Rondell Carter,,SAF,sidearm_roster_rp_id:8515,Official PVAMU 2026-27 roster,NEW_ROSTER_NO_PV_ID
P053,Germonie Davis,,WR,sidearm_roster_rp_id:8538,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
P055,Jacob Davis,,DB,sidearm_roster_rp_id:8548,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
P057,Ledell Finister,,OL,sidearm_roster_rp_id:8513,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
P056,Braylon Finney,,WR,sidearm_roster_rp_id:8522,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
P058,Dorian Gates,,WILL,sidearm_roster_rp_id:8504,Official PVAMU 2026-27 roster,REVIEW_POSITION_DL_VS_WILL
P059,"Toric Goins, Jr.",,WR,sidearm_roster_rp_id:8519,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
,Trae Grogan,,SAF,sidearm_roster_rp_id:8490,Official PVAMU 2026-27 roster,NEW_ROSTER_NO_PV_ID
P039,Ky'Yon Harris,,RB,sidearm_roster_rp_id:8531,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
,Nahamani Harris,,DB,sidearm_roster_rp_id:8512,Official PVAMU 2026-27 roster,NEW_ROSTER_NO_PV_ID
P045,Immanuel Hawkins,,DL,sidearm_roster_rp_id:8510,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
P081,Brandon Heyward,,DB,sidearm_roster_rp_id:8547,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
,Isaiah Hill,,DT,sidearm_roster_rp_id:8498,Official PVAMU 2026-27 roster,NEW_ROSTER_NO_PV_ID
P061,Hunter Howard,,OL,sidearm_roster_rp_id:8544,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
P062,Gabriel Ikechukwu,,DT,sidearm_roster_rp_id:8521,Official PVAMU 2026-27 roster,MATCHED_POSITION_FAMILY_DL_DT
P042,Amarie Jackson,,RB,sidearm_roster_rp_id:8533,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
P063,Joseph James Jean-Louis,,LB,sidearm_roster_rp_id:8492,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
P064,"Jamie Johnson, Jr.",,OL,sidearm_roster_rp_id:8545,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
P038,Jahbari Kuykendall,,RB,sidearm_roster_rp_id:8497,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
,"Leo Lane, Jr.",,SAF,sidearm_roster_rp_id:8503,Official PVAMU 2026-27 roster,NEW_ROSTER_NO_PV_ID
P066,Vysen Lang,,OL,sidearm_roster_rp_id:8494,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
P065,Akim Lanieux,,WR,sidearm_roster_rp_id:8518,Official PVAMU 2026-27 roster,MATCHED_CURRENT_LIVE_ID_JOIN_UNVERIFIED
P067,Fitzroy Ledgister,,CB,sidearm_roster_rp_id:8495,Official PVAMU 2026-27 roster,MATCHED_POSITION_FAMILY_DB_CB
